Systime:1525857660200 Request:[CR,(0,0),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,1),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,2),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,3),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,4),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,5),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,6),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,7),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,8),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,9),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,10),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,11),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,12),(40,40)] Not Picked
Request:[CR,(0,13),(40,40)]
  >>  Systime:1525857660200 Departure:(0,13) Destination:(40,40) TaxiNumber:18
WillingDriver:
  >>  TaxiNumber:18 TaxiPosition:(4,15) TaxiStatus:Waiting TaxiReputation:35
PickRoute:
  >>  Systime:1525857683100 Position:(34,45)
  >>  Systime:1525857683600 Position:(35,45)
  >>  Systime:1525857684100 Position:(36,45)
  >>  Systime:1525857684600 Position:(37,45)
  >>  Systime:1525857685100 Position:(38,45)
  >>  Systime:1525857685600 Position:(39,45)
  >>  Systime:1525857686100 Position:(40,45)
  >>  Systime:1525857686600 Position:(41,45)
  >>  Systime:1525857687100 Position:(42,45)
  >>  Systime:1525857687600 Position:(43,45)
  >>  Systime:1525857688100 Position:(44,45)
  >>  Systime:1525857688600 Position:(45,45)
  >>  Systime:1525857689100 Position:(46,45)
  >>  Systime:1525857689600 Position:(47,45)
  >>  Systime:1525857690100 Position:(48,45)
  >>  Systime:1525857690600 Position:(49,45)
  >>  Systime:1525857691100 Position:(50,45)
  >>  Systime:1525857691600 Position:(51,45)
  >>  Systime:1525857692100 Position:(52,45)
  >>  Systime:1525857692600 Position:(53,45)
  >>  Systime:1525857693100 Position:(54,45)
  >>  Systime:1525857693600 Position:(55,45)
  >>  Systime:1525857694100 Position:(56,45)
  >>  Systime:1525857694600 Position:(57,45)
  >>  Systime:1525857695100 Position:(58,45)
  >>  Systime:1525857695600 Position:(59,45)
  >>  Systime:1525857696100 Position:(60,45)
  >>  Systime:1525857696600 Position:(61,45)
  >>  Systime:1525857697100 Position:(62,45)
  >>  Systime:1525857697600 Position:(63,45)
  >>  Systime:1525857698100 Position:(64,45)
  >>  Systime:1525857698600 Position:(65,45)
  >>  Systime:1525857699100 Position:(66,45)
  >>  Systime:1525857699600 Position:(67,45)
  >>  Systime:1525857700100 Position:(68,45)
  >>  Systime:1525857700600 Position:(69,45)
  >>  Systime:1525857701100 Position:(70,45)
  >>  Systime:1525857701600 Position:(71,45)
  >>  Systime:1525857702100 Position:(72,45)
  >>  Systime:1525857702600 Position:(73,45)
  >>  Systime:1525857703100 Position:(74,45)
  >>  Systime:1525857703600 Position:(75,45)
  >>  Systime:1525857704100 Position:(76,45)
  >>  Systime:1525857704600 Position:(77,45)
  >>  Systime:1525857705100 Position:(78,45)
  >>  Systime:1525857705600 Position:(79,45)
  >>  Systime:1525857706100 Position:(79,44)
  >>  Systime:1525857706600 Position:(79,43)
  >>  Systime:1525857707100 Position:(78,43)
  >>  Systime:1525857707600 Position:(77,43)
  >>  Systime:1525857708100 Position:(76,43)
  >>  Systime:1525857708600 Position:(75,43)
  >>  Systime:1525857709100 Position:(74,43)
  >>  Systime:1525857709600 Position:(73,43)
  >>  Systime:1525857710100 Position:(72,43)
  >>  Systime:1525857710600 Position:(71,43)
  >>  Systime:1525857711100 Position:(70,43)
  >>  Systime:1525857711600 Position:(69,43)
  >>  Systime:1525857712100 Position:(68,43)
  >>  Systime:1525857712600 Position:(67,43)
  >>  Systime:1525857713100 Position:(66,43)
  >>  Systime:1525857713600 Position:(65,43)
  >>  Systime:1525857714100 Position:(64,43)
  >>  Systime:1525857714600 Position:(63,43)
  >>  Systime:1525857715100 Position:(62,43)
  >>  Systime:1525857715600 Position:(61,43)
  >>  Systime:1525857716100 Position:(60,43)
  >>  Systime:1525857716600 Position:(59,43)
  >>  Systime:1525857717100 Position:(58,43)
  >>  Systime:1525857717600 Position:(57,43)
  >>  Systime:1525857718100 Position:(56,43)
  >>  Systime:1525857718600 Position:(55,43)
  >>  Systime:1525857719100 Position:(54,43)
  >>  Systime:1525857719600 Position:(53,43)
  >>  Systime:1525857720100 Position:(52,43)
  >>  Systime:1525857720600 Position:(51,43)
  >>  Systime:1525857721100 Position:(50,43)
  >>  Systime:1525857721600 Position:(49,43)
  >>  Systime:1525857722100 Position:(48,43)
  >>  Systime:1525857722600 Position:(47,43)
  >>  Systime:1525857723100 Position:(46,43)
  >>  Systime:1525857723600 Position:(45,43)
  >>  Systime:1525857724100 Position:(44,43)
  >>  Systime:1525857724600 Position:(43,43)
  >>  Systime:1525857725100 Position:(42,43)
  >>  Systime:1525857725600 Position:(41,43)
  >>  Systime:1525857726100 Position:(40,43)
  >>  Systime:1525857726600 Position:(39,43)
  >>  Systime:1525857727100 Position:(38,43)
  >>  Systime:1525857727600 Position:(37,43)
  >>  Systime:1525857728100 Position:(36,43)
  >>  Systime:1525857728600 Position:(35,43)
  >>  Systime:1525857729100 Position:(34,43)
  >>  Systime:1525857729600 Position:(33,43)
  >>  Systime:1525857730100 Position:(32,43)
  >>  Systime:1525857730600 Position:(31,43)
  >>  Systime:1525857731100 Position:(30,43)
  >>  Systime:1525857731600 Position:(29,43)
  >>  Systime:1525857732100 Position:(28,43)
  >>  Systime:1525857732600 Position:(27,43)
  >>  Systime:1525857733100 Position:(26,43)
  >>  Systime:1525857733600 Position:(25,43)
  >>  Systime:1525857734100 Position:(24,43)
  >>  Systime:1525857734600 Position:(23,43)
  >>  Systime:1525857735100 Position:(22,43)
  >>  Systime:1525857735600 Position:(21,43)
